fid,osm_id,name,highway,angle,xcoord,ycoord
131,"196355313",Locust Street,residential,97.729073318323756,-75.154205127097057,39.946924951343249
131,"196355313",Locust Street,residential,97.688079025449184,-75.153907839230811,39.946884703198918
131,"196355313",Locust Street,residential,97.707911430477708,-75.153610549129709,39.946844471429372
132,"196355321",South 3rd Street,tertiary,12.433411610180565,-75.146694305844505,39.945570027180167
132,"196355321",South 3rd Street,tertiary,12.433411610180565,-75.146629714395559,39.945862991247459
132,"196355321",South 3rd Street,tertiary,12.427994123244265,-75.146565131471149,39.946155957193774
132,"196355321",South 3rd Street,tertiary,12.422951387514551,-75.146500552526334,39.946448924015336
132,"196355321",South 3rd Street,tertiary,12.418744600595602,-75.146436022691447,39.946741901660033
132,"196355321",South 3rd Street,tertiary,12.418744600595602,-75.146371506239774,39.947034882252339
132,"196355321",South 3rd Street,tertiary,12.421790897488444,-75.146306893609889,39.947327835931262
132,"196355321",South 3rd Street,tertiary,12.422188146148144,-75.146242360802447,39.947620812921421
132,"196355321",South 3rd Street,tertiary,12.430294633122889,-75.146177821749532,39.947913788535523
132,"196355321",South 3rd Street,tertiary,12.430294633122889,-75.146113246238372,39.948206756116249
132,"196355321",South 3rd Street,tertiary,12.430294633122889,-75.146048670727197,39.948499723696976
132,"196355321",South 3rd Street,tertiary,11.977172162289145,-75.146001429219055,39.948794168460005
132,"196355321",South 3rd Street,tertiary,11.977172162289145,-75.145939172631103,39.949087637567843
132,"196355321",South 3rd Street,tertiary,12.322359872664473,-75.145876686611402,39.949381057281308
132,"196355321",South 3rd Street,tertiary,12.659501978807358,-75.145811857223237,39.949673967463198
132,"196355321",South 3rd Street,tertiary,12.659501978807358,-75.145746110237695,39.949966674371026
133,"196355324",South 7th Street,residential,13.247000789291969,-75.153161471722015,39.945674407836052
133,"196355324",South 7th Street,residential,13.247000789291969,-75.153092726890620,39.945966425212504
133,"196355324",South 7th Street,residential,11.460446431150594,-75.153031870942826,39.946260175911256
134,"196355326",South 8th Street,residential,190.646469733282061,-75.154502199999996,39.946966699999997
134,"196355326",South 8th Street,residential,192.435380748366981,-75.154565195431616,39.946673410196041
134,"196355326",South 8th Street,residential,192.276768205325965,-75.154629593550283,39.946380403792112
134,"196355326",South 8th Street,residential,192.259912521491543,-75.154693385356339,39.946087264567062
134,"196355326",South 8th Street,residential,193.163232495021532,-75.154757190003522,39.945794128950418
135,"196355328",Spruce Street,residential,277.047403135921172,-75.154391278835348,39.945694257036685
135,"196355328",Spruce Street,residential,277.047403135921172,-75.154689012330692,39.945731064179341
135,"196355328",Spruce Street,residential,277.321908287265217,-75.154986654072147,39.945767996891952
135,"196355328",Spruce Street,residential,277.321908287265217,-75.155284207807398,39.945806230053464
136,"196386407",Market Street,primary,97.646762013867175,-75.143753099999998,39.949889400000004
136,"196386407",Market Street,primary,97.171923646479158,-75.143455540367171,39.949851229453138
136,"196386407",Market Street,primary,97.171923646479158,-75.143157887567597,39.949813775335826
137,"196386417",North 3rd Street,tertiary,11.636029006246952,-75.145245500000001,39.952187100000003
137,"196386417",North 3rd Street,tertiary,12.029354333032781,-75.145183439205027,39.952480609296671
137,"196386417",North 3rd Street,tertiary,12.029354333032781,-75.145120915365737,39.952774021582577
137,"196386417",North 3rd Street,tertiary,12.214931089593067,-75.145058336697943,39.953067422092104
137,"196386417",North 3rd Street,tertiary,11.848989763882658,-75.144996387355420,39.953360955262298
137,"196386417",North 3rd Street,tertiary,12.398912306506711,-75.144933242219338,39.953654230966912
137,"196386417",North 3rd Street,tertiary,12.398912306506711,-75.144868827183487,39.953947233873301
137,"196386417",North 3rd Street,tertiary,11.996063290079496,-75.144807001913350,39.954240791186749
138,"196386425",South 2nd Street,tertiary,194.629448633707511,-75.143753099999998,39.949889400000004
138,"196386425",South 2nd Street,tertiary,192.173749370006789,-75.143819878957714,39.949596983918227
138,"196386425",South 2nd Street,tertiary,192.173749370006789,-75.143883142046164,39.949303730134552
138,"196386425",South 2nd Street,tertiary,192.338535183339019,-75.143946971499062,39.949010599424582
138,"196386425",South 2nd Street,tertiary,192.338535183339019,-75.144011077738710,39.948717528801623
138,"196386425",South 2nd Street,tertiary,185.039100056822718,-75.144073014287542,39.948424126602681
138,"196386425",South 2nd Street,tertiary,192.370180355605498,-75.144132551547060,39.948130331775843
138,"196386425",South 2nd Street,tertiary,192.362492415741315,-75.144196810760192,39.947837294656608
138,"196386425",South 2nd Street,tertiary,192.362492415741315,-75.144261039536602,39.947544250864183
138,"196386425",South 2nd Street,tertiary,192.380756927074316,-75.144325299383553,39.947251213919387
138,"196386425",South 2nd Street,tertiary,192.356454897787415,-75.144389474020102,39.946958158273041
139,"206644506",Race Street,secondary,89.891562410662758,-75.142214999999993,39.953783399999999
139,"206644506",Race Street,secondary,89.891562410662758,-75.141915000537281,39.953783967777547
139,"206644506",Race Street,secondary,92.393757710596233,-75.141615086331015,39.953779022707280
140,"218597428",Church Street,footway,98.663346539085012,-75.144235499999994,39.950591199999998
140,"218597428",Church Street,footway,97.967602247677519,-75.143938756277137,39.950547151235931
140,"218597428",Church Street,footway,93.591513068891587,-75.143641223332125,39.950509805400635
141,"325217183",Locust Street,tertiary,97.197339335819649,-75.155317087566402,39.947069674199177
141,"325217183",Locust Street,tertiary,97.338222708448498,-75.155019544545510,39.947031357758185
143,"333316189",Ranstead Street,residential,277.124103021148528,-75.154488400000005,39.950295300000001
143,"333316189",Ranstead Street,residential,277.124103021148528,-75.154786083956139,39.950332505675128
144,"333776282",Chestnut Street,tertiary,96.908121309327555,-75.150193500000000,39.949168399999998
144,"333776282",Chestnut Street,tertiary,96.908121309327555,-75.149895677909015,39.949132316733611
144,"333776282",Chestnut Street,tertiary,96.908121309327555,-75.149597855818001,39.949096233467230
144,"333776282",Chestnut Street,tertiary,96.812572044347206,-75.149300031325893,39.949060170158397
145,"334665975",Arch Street,tertiary,277.059970889738736,-75.145245500000001,39.952187100000003
145,"334665975",Arch Street,tertiary,277.120666036905675,-75.145543196187731,39.952224207420109
145,"334665975",Arch Street,tertiary,277.104335686329023,-75.145840889320326,39.952261339578037
145,"334665975",Arch Street,tertiary,277.104335686329023,-75.146138586094892,39.952298442548482
145,"334665975",Arch Street,tertiary,277.108819661895438,-75.146436276553317,39.952335596134233
145,"334665975",Arch Street,tertiary,277.108819661895438,-75.146733970423284,39.952372722402352
145,"334665975",Arch Street,tertiary,277.109156125460117,-75.147031673124246,39.952409754366343
145,"334665975",Arch Street,tertiary,277.109156125460117,-75.147329366776177,39.952446882382631
145,"334665975",Arch Street,tertiary,277.109156125460117,-75.147627060428107,39.952484010398926
145,"334665975",Arch Street,tertiary,277.109156125460117,-75.147924754080051,39.952521138415214
145,"334665975",Arch Street,tertiary,277.109156125460117,-75.148222447731996,39.952558266431510
146,"335334861",Dock Street,pedestrian,121.677707700758262,-75.146129799999997,39.947727000000000
146,"335334861",Dock Street,pedestrian,119.573550487995561,-75.145871483661239,39.947574545121576
146,"335334861",Dock Street,pedestrian,117.971584580968738,-75.145607321545455,39.947432392798149
146,"335334861",Dock Street,pedestrian,153.867785034481557,-75.145428281413103,39.947201523476998
148,"338900945",Sansom Street,residential,308.212865542827046,-75.154101199999999,39.948823200000000
148,"338900945",Sansom Street,residential,277.030973299247194,-75.154384189347567,39.948900465019534
148,"338900945",Sansom Street,residential,277.122824300152558,-75.154681919368983,39.948937299684907
148,"338900945",Sansom Street,residential,277.122824300152558,-75.154979604155415,39.948974498716346
149,"339118518",North American Street,service,14.030307003955768,-75.144235499999994,39.950591199999998
149,"339118518",North American Street,service,14.030307003955768,-75.144162769468053,39.950882250287279
150,"352987976",Filbert Street,footway,278.033950660796677,-75.145195000000001,39.951240100000000
151,"352987977",Filbert Street,footway,278.505623633961875,-75.145345199999994,39.951261299999999
152,"353230043",South Perth Street,service,13.149421085553406,-75.154224200000002,39.946138800000000
152,"353230043",South Perth Street,service,13.149421085553406,-75.154155952599083,39.946430934031341
152,"353230043",South Perth Street,service,13.149421085553406,-75.154087705198179,39.946723068062688
153,"385022879",South 2nd Street,tertiary,193.409021407224344,-75.144408200000001,39.946867300000001
153,"385022879",South 2nd Street,tertiary,192.388780053474846,-75.144473579013265,39.946574519286621
154,"385022880",Walnut Street,tertiary,280.411953036673651,-75.144408200000001,39.946867300000001
154,"385022880",Walnut Street,tertiary,277.747498495118009,-75.144704864667489,39.946911477132510
154,"385022880",Walnut Street,tertiary,277.747498495118009,-75.145002126202684,39.946951919433339
154,"385022880",Walnut Street,tertiary,277.747498495118009,-75.145299387737879,39.946992361734175
154,"385022880",Walnut Street,tertiary,277.382771972879823,-75.145596876829842,39.947031090623717
154,"385022880",Walnut Street,tertiary,277.382771972879823,-75.145894389783223,39.947069639846518
154,"385022880",Walnut Street,tertiary,277.382771972879823,-75.146191902736575,39.947108189069318
154,"385022880",Walnut Street,tertiary,277.801365047974173,-75.146489415990658,39.947146700734187
154,"385022880",Walnut Street,tertiary,277.801365047974173,-75.146786639372706,39.947187422487133
154,"385022880",Walnut Street,tertiary,277.801365047974173,-75.147083862754755,39.947228144240107
154,"385022880",Walnut Street,tertiary,277.801365047974173,-75.147381086136804,39.947268865993074
154,"385022880",Walnut Street,tertiary,277.822942294062216,-75.147678295645761,39.947309688862497
155,"385910226",North 2nd Street,tertiary,192.019755367414291,-75.142849045589756,39.954139636213498
155,"385910226",North 2nd Street,tertiary,192.801672912126520,-75.142913798905184,39.953846738458765
156,"387422108",5th Street,secondary,12.607062765878194,-75.148760899999999,39.951397499999999
156,"387422108",5th Street,secondary,12.607062765878194,-75.148695420938139,39.951690266959297
156,"387422108",5th Street,secondary,12.607062765878194,-75.148629941876266,39.951983033918594
157,"387422116",Arch Street,secondary,276.608186993544678,-75.151540299999994,39.952964000000001
157,"387422116",Arch Street,secondary,277.159680930760317,-75.151838105157239,39.953000194765472
157,"387422116",Arch Street,secondary,277.159680930760317,-75.152135765953062,39.953037585280761
157,"387422116",Arch Street,secondary,277.473314669497825,-75.152433461519010,39.953074684876064
157,"387422116",Arch Street,secondary,277.073759412171512,-75.152730936969817,39.953113517831248
157,"387422116",Arch Street,secondary,277.073759412171512,-75.153028653502247,39.953150461928544
157,"387422116",Arch Street,secondary,277.034633971619428,-75.153326335353455,39.953187634405261
157,"387422116",Arch Street,secondary,277.185526339908222,-75.153623958898763,39.953225308692389
157,"387422116",Arch Street,secondary,277.185526339908222,-75.153921602797908,39.953262833474930
157,"387422116",Arch Street,secondary,277.329070666643986,-75.154219373193257,39.953299305650582
157,"387422116",Arch Street,secondary,277.329070666643986,-75.154516922146783,39.953337576008131
158,"387422125",Chestnut Street,tertiary,96.762389674249363,-75.149192299999996,39.949047299999997
158,"387422125",Chestnut Street,tertiary,97.126029680233842,-75.148894519547284,39.949010886866809
158,"387422125",Chestnut Street,tertiary,97.126029680233842,-75.148596836842415,39.948973671181619
158,"387422125",Chestnut Street,tertiary,97.126029680233842,-75.148299154137561,39.948936455496430
158,"387422125",Chestnut Street,tertiary,97.126029680233842,-75.148001471432693,39.948899239811240
158,"387422125",Chestnut Street,tertiary,97.126029680233842,-75.147703788727824,39.948862024126051
159,"388533147",Walnut Street,tertiary,277.280899282776829,-75.149515899999997,39.947536999999997
159,"388533147",Walnut Street,tertiary,276.851064267942661,-75.149813682146402,39.947573397620083
159,"388533147",Walnut Street,tertiary,276.851064267942661,-75.150111540022635,39.947609184287487
159,"388533147",Walnut Street,tertiary,276.851064267942661,-75.150409397898869,39.947644970954897
159,"388533147",Walnut Street,tertiary,276.851064267942661,-75.150707255775103,39.947680757622301
159,"388533147",Walnut Street,tertiary,274.196916077980632,-75.151005317150293,39.947714440107433
160,"388533150",South 5th Street,residential,14.131172277039916,-75.149936991467570,39.945622364426271
160,"388533150",South 5th Street,residential,12.454590420162477,-75.149865912505717,39.945913797449663
160,"388533150",South 5th Street,residential,12.454590420162477,-75.149801212769958,39.946206737621360
160,"388533150",South 5th Street,residential,12.128430140552029,-75.149737708236160,39.946499938270314
160,"388533150",South 5th Street,residential,12.104959774226270,-75.149674729206467,39.946793253183181
160,"388533150",South 5th Street,residential,12.125687770302930,-75.149611721626243,39.947086561969066
160,"388533150",South 5th Street,residential,12.125687770302930,-75.149548704551009,39.947379868716737
161,"423385531",South 3rd Street,tertiary,13.502579887566576,-75.145709100000005,39.950132500000002
162,"424804076",Market Street,primary,96.770753114886347,-75.150378099999998,39.950742800000000
162,"424804076",Market Street,primary,97.210660200089563,-75.150080354492914,39.950706107772696
162,"424804076",Market Street,primary,97.210660200089563,-75.149782727083348,39.950668452426733
163,"424804083",North Independence Mall West,secondary,192.434307086933842,-75.150287300000002,39.951191000000001
163,"424804083",North Independence Mall West,secondary,192.434307086933842,-75.150351896027686,39.950898036942249
164,"424809765",Market Street,primary,97.400829068228006,-75.142854099999994,39.949775000000002
164,"424809765",Market Street,primary,97.400829068228006,-75.142556599210423,39.949736357016199
164,"424809765",Market Street,primary,101.858338802214163,-75.142259127305408,39.949697543791160
165,"424809787",South Christopher Columbus Boulevard,primary,10.721069237287290,-75.141745650704308,39.945490155428139
165,"424809787",South Christopher Columbus Boulevard,primary,11.418549937825926,-75.141689607426329,39.945784872808325
166,"424810031",South Christopher Columbus Boulevard,primary,192.847003066731531,-75.141649037622670,39.947071624240678
166,"424810031",South Christopher Columbus Boulevard,primary,192.847003066731531,-75.141715742141116,39.946779134057572
166,"424810031",South Christopher Columbus Boulevard,primary,192.824398100444313,-75.141782409036935,39.946486635302136
168,"424829491",North 7th Street,secondary,11.285294427291138,-75.151309699999999,39.954043599999999
