                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2588,                  1.641,                0.86139,                 1.1905,                 0.7921,                0.73982,                0.79904,                0.46111,                0.78178,                0.73042,                0.79658,                0.43445,                 1.4625,                 1.6093,                 1.0811,                 1.3418,              0.0019347,              0.0019347,              0.0019347
                     36,                 1.2749,                 1.6352,                 0.8573,                 1.2142,                0.85055,                0.71833,                0.82869,                0.48323,                 0.8392,                0.70874,                0.81831,                0.46683,                 1.4931,                 1.9849,                 1.0456,                 1.4472,              0.0019327,              0.0019327,              0.0019327
                     37,                 1.2274,                 1.6007,                0.83396,                 1.1788,                0.79799,                0.82524,                0.84729,                0.47855,                0.79785,                0.80583,                0.83121,                0.46971,                 1.5294,                 1.7819,                 1.0784,                 1.3756,              0.0019307,              0.0019307,              0.0019307
                     38,                 1.1727,                 1.6345,                0.80711,                 1.1526,                0.83827,                0.76699,                0.82966,                0.48135,                0.82766,                0.75728,                0.80884,                0.48041,                 1.4806,                 1.7368,                 1.0649,                 1.3852,              0.0019287,              0.0019287,              0.0019287
                     39,                 1.2236,                 1.5986,                0.83063,                  1.185,                0.80236,                0.85437,                0.84422,                0.49095,                0.81106,                0.83353,                0.86177,                  0.501,                 1.4958,                 1.5783,                0.96239,                  1.395,              0.0019267,              0.0019267,              0.0019267
                     40,                 1.1794,                  1.602,                0.79779,                 1.1677,                0.74328,                0.84329,                0.87178,                0.55695,                0.81674,                0.73786,                 0.8413,                0.50447,                  1.413,                 1.8297,                0.88576,                 1.3544,              0.0019248,              0.0019248,              0.0019248
                     41,                 1.1587,                 1.5575,                0.77766,                 1.1461,                0.74928,                 0.7834,                0.81676,                 0.4992,                0.78185,                0.76554,                0.79992,                0.46043,                  1.403,                 1.6825,                  0.961,                 1.3687,              0.0019228,              0.0019228,              0.0019228
                     42,                 1.1861,                 1.5393,                0.79925,                  1.169,                0.84583,                0.80583,                 0.8759,                0.50545,                0.85014,                 0.7767,                0.83127,                 0.4935,                 1.4423,                 1.8546,                0.95588,                 1.3306,              0.0019208,              0.0019208,              0.0019208
                     43,                 1.1875,                 1.5607,                0.81022,                  1.183,                 0.8596,                0.82524,                0.88089,                0.53579,                0.85706,                0.81553,                0.84705,                0.49459,                 1.3422,                 1.6597,                0.96835,                 1.3081,              0.0019188,              0.0019188,              0.0019188
                     44,                  1.178,                 1.6073,                0.79295,                  1.184,                 0.8906,                0.79612,                0.88249,                0.52703,                0.86926,                0.77462,                0.84585,                0.49265,                 1.3336,                 1.5813,                0.96926,                 1.3599,              0.0019168,              0.0019168,              0.0019168
                     45,                 1.1276,                 1.4803,                0.74902,                 1.1413,                0.86952,                0.77637,                0.85981,                0.53079,                0.85561,                0.71845,                0.80766,                0.45913,                 1.3683,                 1.7713,                0.96714,                 1.3716,              0.0019149,              0.0019149,              0.0019149
                     46,                 1.1095,                  1.513,                0.75014,                 1.1334,                0.80414,                0.78641,                0.79094,                0.46804,                0.80247,                0.78641,                0.77746,                0.41002,                  1.494,                 1.8999,                  1.124,                 1.4594,              0.0019129,              0.0019129,              0.0019129
                     47,                 1.0861,                 1.4555,                0.71948,                 1.1128,                0.85258,                0.79612,                0.87418,                0.55085,                0.83087,                0.78641,                0.85983,                0.51214,                 1.4365,                 1.7042,                0.99899,                 1.4922,              0.0019109,              0.0019109,              0.0019109
                     48,                 1.1186,                 1.5256,                0.73177,                 1.1326,                0.88126,                0.74757,                0.86978,                 0.5652,                0.84514,                0.74179,                0.82536,                0.51354,                 1.4091,                 1.7799,                0.97458,                 1.3794,              0.0019089,              0.0019089,              0.0019089
                     49,                 1.1122,                 1.5283,                 0.7248,                 1.1213,                0.89407,                0.81942,                0.90282,                0.56601,                0.89283,                0.81553,                 0.8769,                0.53211,                 1.3681,                 1.7475,                0.87604,                 1.3264,              0.0019069,              0.0019069,              0.0019069
                     50,                 1.1557,                 1.5327,                0.75656,                 1.1535,                0.83122,                0.81285,                0.85678,                0.53686,                0.83042,                0.80825,                0.83337,                0.50698,                  1.373,                  1.681,                0.97748,                 1.3278,               0.001905,               0.001905,               0.001905
                     51,                 1.0765,                 1.4909,                0.72135,                 1.1177,                0.88284,                 0.7316,                0.86211,                0.53381,                0.90352,                0.72741,                0.83431,                0.47726,                 1.4145,                 1.7712,                 0.9495,                 1.3376,               0.001903,               0.001903,               0.001903
                     52,                 1.0999,                 1.4769,                0.71273,                 1.1141,                0.74771,                0.77687,                0.81244,                0.49057,                0.74754,                 0.7767,                 0.8119,                0.46524,                 1.5132,                 1.7533,                 1.0571,                 1.4105,               0.001901,               0.001901,               0.001901
                     53,                  1.077,                 1.4721,                0.73591,                 1.1241,                 0.8054,                0.82524,                0.85976,                0.51385,                0.79592,                0.81553,                0.83665,                0.47579,                 1.3969,                 1.7575,                  0.977,                 1.4379,               0.001899,               0.001899,               0.001899
                     54,                 1.1123,                 1.5189,                0.71784,                 1.1303,                0.80058,                0.79612,                0.83738,                 0.5078,                0.79082,                0.78641,                0.80908,                0.45365,                 1.4421,                 1.7187,                0.96876,                 1.4035,               0.001897,               0.001897,               0.001897
                     55,                 1.1262,                 1.5388,                0.74935,                 1.1417,                 0.7817,                0.86915,                0.89525,                0.55698,                0.83085,                0.79612,                0.85598,                0.51922,                 1.4316,                 1.7175,                0.90705,                 1.4237,              0.0018951,              0.0018951,              0.0018951
                     56,                 1.0773,                 1.4163,                0.72181,                 1.1228,                0.85031,                0.81553,                0.86056,                 0.5645,                0.85031,                0.81553,                0.84979,                0.52384,                 1.2777,                 1.7445,                0.88629,                 1.2998,              0.0018931,              0.0018931,              0.0018931
                     57,                 1.0862,                  1.455,                0.71261,                 1.1172,                0.89405,                0.73736,                0.85235,                0.54602,                 0.9087,                0.73786,                0.86022,                0.53803,                 1.3154,                 1.7349,                0.81856,                 1.2986,              0.0018911,              0.0018911,              0.0018911
                     58,                 1.0884,                 1.4924,                0.73455,                 1.1198,                0.86063,                0.83936,                0.89403,                0.54999,                0.84996,                0.82496,                0.86248,                0.52062,                 1.3493,                 1.7317,                0.85245,                 1.3303,              0.0018891,              0.0018891,              0.0018891
                     59,                 1.0462,                 1.4306,                0.68179,                 1.1033,                0.85652,                0.73786,                0.83897,                0.47466,                0.86672,                0.72816,                0.79504,                0.45288,                 1.4608,                 1.8808,                 1.0087,                 1.4903,              0.0018871,              0.0018871,              0.0018871
